RecId;Валюта;Дата;Накладная;Внутренняя накладная;Номенклатура;Описание;Количество;Единица измерения;Сумма;Сумма НДС;Поставщик;Наименование поставщика
5637269310;RUB;23.12.2020;048004u00001394;ВН-030376;000000117;Прочие услуги АУП (ИТР) 20%;0;шт;1982,81; 396,56;ПС-0100877;"АО ""Почта России"""
5637269311;RUB;23.12.2020;048004u00001394;ВН-030376;000000117;Прочие услуги АУП (ИТР) 20%;0;шт;5118,66; 511,87;ПС-0100877;"АО ""Почта России"""
5637269312;RUB;30.11.2020;3345_566;ВКН-001666;000003425;Уголок 75х75х8 сталь;-2,23;т;-91039,75;- 18 207,95;ПС-0101055;"ООО ""ПРОМТРЕЙД"""
5637269313;RUB;30.11.2020;3345_566;ВКН-001666;000003426;Уголок 110х110х8 сталь;-3,329;т;-155891,54;- 31 178,31;ПС-0101055;"ООО ""ПРОМТРЕЙД"""
5637269314;RUB;30.11.2020;3345_566;ВКН-001666;000003412;Арматура 22;-3,035;т;-113787,22;- 22 757,44;ПС-0101055;"ООО ""ПРОМТРЕЙД"""
5637269315;RUB;24.12.2020;61;ВН-030377;104097022;Поддон 1200х1000;600;шт;186000; 0,00;ПС-0100936;"ООО ""Азимут"""
5637269316;RUB;16.12.2020;1815;ВН-030378;000002080;Гидроцилиндр ГЦГ-40.28х100.11;2;шт;41000; 8 200,00;ПС-0035709;"ООО ПК ""ТЕХНОГАРАНТ"""
5637269317;RUB;24.12.2020;20/6808;ВН-030379;000001997;Канат стальной 16 мм;80;м;16666,67; 3 333,33;ПС-0030767;ИП Вечканов Олег Викторович
5637269318;RUB;23.12.2020;1570;ВН-030380;109093400;Жидкость незамерз. стеклоомывающ.;40;шт;2666,67; 533,33;ПС-0101016;"ООО ""Компания Простор"""
5637269319;RUB;15.12.2020;2910;ВН-030381;105096175;Съемник гидравлический;1;шт;49863,17; 9 972,64;ПС-0035657;"АО ""Подшипник-Сервис"""
5637269320;RUB;15.12.2020;2910;ВН-030381;109094571;Съемник универсальный;1;шт;41535,58; 8 307,12;ПС-0035657;"АО ""Подшипник-Сервис"""
5637269321;RUB;15.12.2020;2910;ВН-030381;105010067;Регулировочная планка;1;шт;53842,42; 10 768,49;ПС-0035657;"АО ""Подшипник-Сервис"""
5637269322;RUB;15.12.2020;2910;ВН-030381;109098297;Стетоскоп для обнаруж.дефектов в механике;1;шт;36305,37; 7 261,07;ПС-0035657;"АО ""Подшипник-Сервис"""
5637269323;RUB;15.12.2020;2910;ВН-030381;109097332;Термометр бесконтактный(пирометр);3;шт;17768,57; 3 553,71;ПС-0035657;"АО ""Подшипник-Сервис"""
5637269324;RUB;15.12.2020;2910;ВН-030381;109095909;Прибор измерения;1;шт;10460,91; 2 092,18;ПС-0035657;"АО ""Подшипник-Сервис"""
5637269325;RUB;15.12.2020;2910;ВН-030381;109099928;Набор рожковых ключей;1;шт;9794,1; 1 958,82;ПС-0035657;"АО ""Подшипник-Сервис"""
5637269326;RUB;24.12.2020;116294/5837;ВН-030382;109194226;Ботинки с защ. подн 43;7;пар;17153,5; 3 430,70;ПС-0100068;" ТП АО ""ТД ТРАКТ"""
5637269327;RUB;21.12.2020;34943;ВН-030383;000001137;Подшипник NU 316 ECM/C3;1;шт;7923,15; 1 584,63;ПС-0100995;"АО ""Интехсервис"""
5637269328;RUB;24.12.2020;29/2020/5/422;ВН-030384;000000117;Прочие услуги АУП (ИТР) 20%;0;шт;24500; 0,00;ПС-0100499;"ООО ""ПЦЗК ""Атлас"""
5637269329;RUB;23.12.2020;24499/01.;ВН-030385;109094119;Набор д/воды;35;шт;6125; 1 225,00;ПС-0100909;"ООО ""Зодиак-Сервис"""
5637269330;RUB;24.12.2020;118100/01;ВН-030386;101095311;Вода столовая бутыль 19л.;80;шт;10666,67; 2 133,33;ПС-0100909;"ООО ""Зодиак-Сервис"""
5637269331;RUB;24.12.2020;118100/01;ВН-030386;413495812;Газ-вода 0,5л;60;шт;700; 140,00;ПС-0100909;"ООО ""Зодиак-Сервис"""
5637269332;RUB;24.12.2020;118100/01;ВН-030386;413495812;Газ-вода 0,5л;60;шт;700; 140,00;ПС-0100909;"ООО ""Зодиак-Сервис"""
5637269333;RUB;24.12.2020;289;ВН-030387;000000186;Оформление ГТД;0;шт;9617,4; 0,00;ПС-0034929;"ООО ""Центр внешнеэкономических технологий"""
5637269334;RUB;24.12.2020;291;ВН-030388;000000186;Оформление ГТД;0;шт;7151,4; 0,00;ПС-0034929;"ООО ""Центр внешнеэкономических технологий"""
5637269335;RUB;24.12.2020;119800/5837;ВН-030389;109001808;Средство индивид.защиты органов дыхания;300;шт;12940; 2 588,00;ПС-0100068;" ТП АО ""ТД ТРАКТ"""
5637269336;RUB;24.12.2020;116296/5837;ВН-030390;109110006;Ботинки с защ. подноском утепленные;9;пар;23710,5; 4 742,10;ПС-0100068;" ТП АО ""ТД ТРАКТ"""
5637269337;RUB;24.12.2020;116296/5837;ВН-030390;109110006;Ботинки с защ. подноском утепленные;8;пар;21076; 4 215,20;ПС-0100068;" ТП АО ""ТД ТРАКТ"""
5637269338;RUB;24.12.2020;116296/5837;ВН-030390;109110006;Ботинки с защ. подноском утепленные;4;пар;10538; 2 107,60;ПС-0100068;" ТП АО ""ТД ТРАКТ"""
5637269339;RUB;21.12.2020;УТ-1269;ВН-030391;101093062;Натр едкий марка РД (раствор);23,86;т;393690; 78 738,00;ПС-0100150;"ООО ""ДИАЛ"""
5637269349;RUB;23.12.2020;МТ-16146;ВН-030392;000000136;ДГП-007065 ПС-0000142 поверка гигрометров;0;шт;1054,23; 210,85;ПС-0000142;"УФК по Пензенской области ФБУ ""Пензенский ЦСМ"" л/с 20556Х71840"
5637269350;RUB;02.12.2020;684;ВН-030393;000000085;Прочие услуги (ОП);0;шт;2454; 0,00;ПС-0100306;"Министерство Финансов Пензенской области (ГБУЗ ""Каменская МРБ"" л/с 855132183)"
5637269351;RUB;08.12.2020;0812;ВН-030394;000000031;???Ремонт радиостанции;0;шт;1200; 0,00;ПС-0100520;ИП Шебуняев Александр Алексеевич
5637269352;RUB;22.12.2020;276;ВН-030395;000000201;Накладные расходы (доставка, хранение и пр.);0;шт;2800; 0,00;ПС-0035527;ИП Тришин Сергей Анатольевич
5637269353;RUB;22.12.2020;276;ВН-030395;000000201;Накладные расходы (доставка, хранение и пр.);0;шт;1400; 0,00;ПС-0035527;ИП Тришин Сергей Анатольевич
5637269354;RUB;22.12.2020;276;ВН-030395;000000201;Накладные расходы (доставка, хранение и пр.);0;шт;1400; 0,00;ПС-0035527;ИП Тришин Сергей Анатольевич
5637269355;RUB;18.12.2020;1812;ВН-030396;000000201;Накладные расходы (доставка, хранение и пр.);0;шт;1150; 0,00;ПС-0100091;ИП Кузнецов Михаил Викторович
5637269356;RUB;18.12.2020;1812;ВН-030396;000000201;Накладные расходы (доставка, хранение и пр.);0;шт;1150; 0,00;ПС-0100091;ИП Кузнецов Михаил Викторович
5637269357;RUB;18.12.2020;1812;ВН-030396;000000201;Накладные расходы (доставка, хранение и пр.);0;шт;1150; 0,00;ПС-0100091;ИП Кузнецов Михаил Викторович
5637269358;RUB;22.12.2020;2212;ВН-030397;000000201;Накладные расходы (доставка, хранение и пр.);0;шт;1500; 0,00;ПС-0100091;ИП Кузнецов Михаил Викторович
5637269359;RUB;22.12.2020;2212;ВН-030397;000000201;Накладные расходы (доставка, хранение и пр.);0;шт;1500; 0,00;ПС-0100091;ИП Кузнецов Михаил Викторович
5637269360;RUB;22.12.2020;2212;ВН-030397;000000201;Накладные расходы (доставка, хранение и пр.);0;шт;1500; 0,00;ПС-0100091;ИП Кузнецов Михаил Викторович
5637269361;RUB;22.12.2020;2212;ВН-030397;000000201;Накладные расходы (доставка, хранение и пр.);0;шт;1440; 0,00;ПС-0100091;ИП Кузнецов Михаил Викторович
5637269362;RUB;24.12.2020;2412;ВН-030398;000000201;Накладные расходы (доставка, хранение и пр.);0;шт;1150; 0,00;ПС-0100091;ИП Кузнецов Михаил Викторович
5637269363;RUB;24.12.2020;2412;ВН-030398;000000201;Накладные расходы (доставка, хранение и пр.);0;шт;1150; 0,00;ПС-0100091;ИП Кузнецов Михаил Викторович
5637269364;RUB;24.12.2020;2412;ВН-030398;000000201;Накладные расходы (доставка, хранение и пр.);0;шт;1150; 0,00;ПС-0100091;ИП Кузнецов Михаил Викторович
5637269365;RUB;24.12.2020;СВ20/173;ВН-030399;105093501;Патрон к креслу;1;шт;583,34; 116,66;ПС-0100513;ИП Сергеев Виктор Вячеславович
5637269366;RUB;24.12.2020;СВ20/173;ВН-030399;105093501;Патрон к креслу - пятилучье;1;шт;83,33; 16,67;ПС-0100513;ИП Сергеев Виктор Вячеславович
5637269367;RUB;24.12.2020;63;ВН-030400;103198068;Смазка-спрей (силиконовая);22;шт;3630; 0,00;ПС-0032908;ИП Костин Алексей Владимирович
