RecId,Валюта,Дата,Накладная,Внутренняя накладная,Номенклатура,Описание,Количество,Единица измерения,Сумма,Сумма НДС,Поставщик,Наименование поставщика
5637218193.0,RUB,2020-12-24,1554,ВН-021138,000000117,переплет книг,0.0,шт,1200.0,0.0,П0005288,"ООО ""Редакция газеты ""Огни Кубани"""
5637218194.0,RUB,2020-12-02,44Э,ВН-021139,000000022, экспертиза промышленной безопасности  крана ДЭК-251 рег №32359,0.0,шт,24143.0,0.0,П0003815,"ООО ""Инженерно-технический центр"""
5637218195.0,EUR,2020-12-01,544522/21 009 SiS,ВН-021140,000000117,"подписка ""сахар и свекла """,0.0,шт,61.0,0.0,П0005164,"Издательство ""Альберт Бартенс"" КГ"
5637218196.0,RUB,2020-12-01,"1 ,",ВН-021141,000000095,Работы по обследованию паровой камеры,0.0,шт,25000.0,0.0,П0004771,"ООО ""Вексиллум"""
5637218197.0,RUB,2020-12-15,29,ВН-021142,000000001,подготовка проектной документации артскважины  ОС52469,0.0,шт,200000.0,0.0,П0005216,ИП Тодорская Ольга Георгиевна
5637218198.0,RUB,2020-12-20,340,ВН-021143,000000192,Перевозка жома гран.(в тоннах),0.0,т,349824.0,0.0,П0005273,ИП Василенко Евгений Алексеевич
5637218199.0,RUB,2020-12-25,3128,ВН-021144,101110345,Элемент Питания/батарейка/ ААА,36.0,шт,2147.4,0.0,П0001677,ИП Корнева Татьяна Ивановна
5637218200.0,RUB,2020-12-25,3128,ВН-021144,101110345,Элемент Питания/батарейка/ АА,36.0,шт,2147.4,0.0,П0001677,ИП Корнева Татьяна Ивановна
5637218201.0,RUB,2020-12-31, б/н,ВН-021145,000000097,Услуги охраны собственного имущества,0.0,шт,390882.51,0.0,П0003756,"ООО ""ОСА ""Скорпион"""
5637218202.0,RUB,2020-12-31, б/н,ВН-021145,000000117,Прочие услуги АУП (ИТР) 20%,0.0,шт,419117.49,0.0,П0003756,"ООО ""ОСА ""Скорпион"""
5637218203.0,RUB,2020-12-25,Е-00368163/5251,ВН-021146,109013490,Холодильник,1.0,шт,14999.17,2999.83,П0005203,"ООО ""ДНС Ритейл"""
5637218204.0,RUB,2020-12-31,9694,ВН-021147,000000219,тех.обслуживание г/проводов(Общежитие),0.0,шт,10268.6,2053.72,П0000817,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ КРАСНОДАР"""
5637218205.0,RUB,2020-12-23,23/12,ВН-021149,000000197,Прочие услуги (неучитываемые в целях налогообложения),0.0,шт,4000.0,0.0,П0000001,Через Подотчетное лицо
5637218206.0,RUB,2020-12-23,"23/12,",ВН-021150,000000197,Прочие услуги (неучитываемые в целях налогообложения),0.0,шт,10000.0,0.0,П0000001,Через Подотчетное лицо
5637218207.0,RUB,2020-12-08,08/12,ВН-021151,000000197,Прочие услуги (неучитываемые в целях налогообложения),0.0,шт,10000.0,0.0,П0000001,Через Подотчетное лицо
5637218208.0,RUB,2020-12-23,"23/12,,",ВН-021152,000000197,Прочие услуги (неучитываемые в целях налогообложения),0.0,шт,10000.0,0.0,П0000001,Через Подотчетное лицо
